"Name","FullName","LastWriteTime","SizeBytes","SHA256","ArtifactRole","DefectFamily","ExecutionStatus","PhysicalActionAuthorized","RouteStatus"
"RUN_BOUNDED_GIT_SNAPSHOT_ROUGH_LOCAL_HASH_TRUTH_BOUNDARY_V0_3_STOP_ON_BLOCKER_SAFE_WRITER_20260608.ps1","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\RUN_BOUNDED_GIT_SNAPSHOT_ROUGH_LOCAL_HASH_TRUTH_BOUNDARY_V0_3_STOP_ON_BLOCKER_SAFE_WRITER_20260608.ps1","06/08/2026 17:58:07","5835","F00FE67E139E3A0F5CC87DEE0EEAD2464D601E151DEA73B37B9FBB86CEB8197E","RULE_OR_TEMPLATE_CARD","GENERAL_COLLECTION_PARAMETER_BINDING_DEFECT","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"GENERATED_RUNNER_SAFE_TEMPLATE_AND_STOP_ON_BLOCKER_RULE_CARD_20260608.md","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\GENERATED_RUNNER_SAFE_TEMPLATE_AND_STOP_ON_BLOCKER_RULE_CARD_20260608.md","06/08/2026 18:20:13","7182","E0013BA267527AF2201B934E8AEEB55710835EF0CC3ECD78250729E6ECB8FB26","RULE_OR_TEMPLATE_CARD","GENERAL_COLLECTION_PARAMETER_BINDING_DEFECT","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_RECEIPT_20260608.txt","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_RECEIPT_20260608.txt","06/08/2026 18:20:13","2379","13E18217CB7DE53B4C7749CB7D7D7AB454B3A8EB111A5167D3C384ABF75863F4","RULE_OR_TEMPLATE_CARD","GENERAL_COLLECTION_PARAMETER_BINDING_DEFECT","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"BLOCKER__GENERATED_RUNNER_SAFE_TEMPLATE_FIELD_APPLY_20260608.md","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\BLOCKER__GENERATED_RUNNER_SAFE_TEMPLATE_FIELD_APPLY_20260608.md","06/08/2026 18:22:42","418","7AF806829BB686BCD6A7EB3770D05C2458D0F920399758E2A08A7893C68BF834","RULE_OR_TEMPLATE_CARD","GENERAL_COLLECTION_PARAMETER_BINDING_DEFECT","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_FIELD_APPLY_RECEIPT_V0_3_20260608.txt","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_FIELD_APPLY_RECEIPT_V0_3_20260608.txt","06/08/2026 18:26:23","4226","A344FBF9C079A2AAE970B3D3BC9AF6179C890A998AC7AE9F9AFBF699B68E0DBE","RULE_OR_TEMPLATE_CARD","GENERAL_COLLECTION_PARAMETER_BINDING_DEFECT","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_FIELD_APPLY_TO_NEXT_RUNNER_V0_3_20260608.md","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_FIELD_APPLY_TO_NEXT_RUNNER_V0_3_20260608.md","06/08/2026 18:26:23","6923","CB29519867976D554AFCB3A498670C5CA816CABD5775010FD6F3040F32FCCEDA","RULE_OR_TEMPLATE_CARD","GENERAL_COLLECTION_PARAMETER_BINDING_DEFECT","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"ROUGH_LOCAL__GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_CHAIN_20260608.md","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\ROUGH_LOCAL__GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_CHAIN_20260608.md","06/08/2026 18:28:21","4230","B655EE3D7455ACDB69192433A43DDBC90B69B1B0D729040125788B2C27CF51EE","RULE_OR_TEMPLATE_CARD","GENERAL_COLLECTION_PARAMETER_BINDING_DEFECT","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"ROUGH_LOCAL_GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_CHAIN_RECEIPT_20260608.txt","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\ROUGH_LOCAL_GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_CHAIN_RECEIPT_20260608.txt","06/08/2026 18:28:21","1345","FC59C7E2B5067F169CE278B11527B73FFDA5FF1180CC257168A88C0A5CEF3470","RULE_OR_TEMPLATE_CARD","GENERAL_COLLECTION_PARAMETER_BINDING_DEFECT","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"ERROR_FREEZE__ROOT_HELD_ROUTE_DRY_RUN_SELECTOR_V0_4_ARGUMENT_TYPES_MISMATCH_20260609.md","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\ERROR_FREEZE__ROOT_HELD_ROUTE_DRY_RUN_SELECTOR_V0_4_ARGUMENT_TYPES_MISMATCH_20260609.md","06/08/2026 22:52:59","895","0427E628F63DE2651668F3A95B85172CD1E00D0A406DE2A50FB7AD5B394A12FC","ERROR_FREEZE","ARGUMENT_TYPE_MISMATCH","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
"ERROR_FREEZE__ROOT_HELD_ROUTE_DRY_RUN_SELECTOR_V0_5_USER_REVIEW_PACKET_V0_1_ARGUMENT_TYPES_MISMATCH_20260609.md","C:\Users\13527\Desktop\123\HOUSE_WORK\PROJECT_COMMAND_CENTER_UI_LANE\HELPER_FILE_SURFACE_PREFLIGHT_20260606\ERROR_FREEZE__ROOT_HELD_ROUTE_DRY_RUN_SELECTOR_V0_5_USER_REVIEW_PACKET_V0_1_ARGUMENT_TYPES_MISMATCH_20260609.md","06/08/2026 23:12:26","638","A87FA7F91A2EA73427ADBBC4E4256441FDCBC679AD7B676681DBCC57F6102599","ERROR_FREEZE","ARGUMENT_TYPE_MISMATCH","DO_NOT_EXECUTE","NO","NO_ROUTE_NO_CLEANUP_INDEX_ONLY"
