TicketID,FileName,RoleLabel,RiskLabel,ReviewDefault,UserDecision,UserNote
"RHG-DRY-001","BUILD_GENERATED_RUNNER_SAFE_TEMPLATE_RULE_CARD_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-002","BUILD_HELPER_FILE_SURFACE_PREFLIGHT_LANE_CLOSEOUT_CARD_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-003","BUILD_PLANETARY_GATE_HELPER_FILE_SURFACE_PREFLIGHT_CLOSEOUT_OR_NEXT_SELECTOR_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-004","BUILD_PLANETARY_GATE_NEXT_OBJECT_SELECTOR_FROM_HELPER_FILE_SURFACE_PREFLIGHT_20260608_HEAVY_BOUNDARY.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-005","BUILD_ROOT_DROP_INTAKE_WASHER_HELPER_CANDIDATE_OPTION_SET_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-006","BUILD_ROOT_DROP_INTAKE_WASHER_OLD_LOAD_OR_SYSTEM_OPTION_SET_V0_2_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-007","BUILD_ROOT_DROP_INTAKE_WASHER_QUEUE_CLOSEOUT_AND_NEXT_ACTION_CARD_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-008","BUILD_ROOT_DROP_INTAKE_WASHER_REVIEW_QUEUE_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-009","BUILD_ROOT_DROP_INTAKE_WASHER_REVIEW_QUEUE_SUMMARY_AND_OPTION_SET_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-010","BUILD_ROOT_DROP_INTAKE_WASHER_SOURCE_AUTHORITY_CANDIDATE_OPTION_SET_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-011","BUILD_ROOT_DROP_INTAKE_WASHER_SUPPORT_CANDIDATE_OPTION_SET_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-012","BUILD_ROOT_DROP_INTAKE_WASHER_SUPPORT_CANDIDATE_OPTION_SET_V0_2_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-013","BUILD_ROOT_DROP_INTAKE_WASHER_SUPPORT_CARD_SCHEMA_AND_DRY_RUN_20260608.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-014","BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_1.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-015","BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_2.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-016","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_2.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-017","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_3.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-018","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_4.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-019","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_5.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-020","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-021","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_OPTION_SET_V0_2_20260608_HEAVY_BOUNDARY_STOPLINE_FIX_V0_2.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-022","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_OPTION_SET_V0_2_20260608_HEAVY_BOUNDARY_V0_1.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-023","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_20260608_HEAVY_BOUNDARY.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-024","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_V0_2_WITH_STRESS_BENCH_20260608_HEAVY_BOUNDARY.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-025","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_PREP_CARD_V0_2_WITH_STRESS_BENCH_RUNNER_FIX_V0_3_20260608_HEAVY_BOUNDARY.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-026","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_REVIEW_20260608_HEAVY_BOUNDARY_V0_2.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
"RHG-DRY-027","BUILD_ROOT_HELD_GROUP_ROUTE_OR_HOLD_DECISION_READ_ONLY_REVIEW_20260608_HEAVY_BOUNDARY_V0_3.ps1","EXECUTABLE_HELPER_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","SPECIALIST_HELPER_REVIEW_REQUIRED","SPECIALIST_HELPER_REVIEW_REQUIRED",""
