"BatchID","FamilyRank","ReviewFamily","QueueID","SourceTicketID","FileName","SourcePath","SourceExists","SourceSha256","SourceBytes","QueueClass","RiskLabel","ReviewInstruction","ActionNow","BatchReason"
"HSRB-001","1","ACTIVE_ROUTE_SELECTOR_DEFECT_CHAIN","HSRQ-016","RHG-DRY-016","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_2.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_2.ps1","True","7D99F1EE4DC8EBB140A2A097B466F4DA8FD8BCF0E74EC2C131F24B9D7A313322","29201","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","First review because it is the active generated-script defect chain already touched in this session."
"HSRB-001","1","ACTIVE_ROUTE_SELECTOR_DEFECT_CHAIN","HSRQ-017","RHG-DRY-017","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_3.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_3.ps1","True","7F10DB255DD2A00CCB4AC90BEC2B5A9491A902946A3732933D3AAC86B234DAFB","30250","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","First review because it is the active generated-script defect chain already touched in this session."
"HSRB-001","1","ACTIVE_ROUTE_SELECTOR_DEFECT_CHAIN","HSRQ-018","RHG-DRY-018","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_4.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_4.ps1","True","FD8B25E4F1620DFECEC4D85B954A4C18100262329167F56F6EE58AFBA3178990","31734","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","First review because it is the active generated-script defect chain already touched in this session."
"HSRB-001","1","ACTIVE_ROUTE_SELECTOR_DEFECT_CHAIN","HSRQ-019","RHG-DRY-019","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_5.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609_V0_5.ps1","True","8E0E0E36C347C60F28C22AB34956EFD9E9179E6E173E91E8E8D9CF507EAE7781","24511","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","First review because it is the active generated-script defect chain already touched in this session."
"HSRB-001","1","ACTIVE_ROUTE_SELECTOR_DEFECT_CHAIN","HSRQ-020","RHG-DRY-020","BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_ROUTE_DRY_RUN_SELECTOR_20260609.ps1","True","C7E77EB8A3B444F544504EA58635A84F87CADAD1C1D6C8D75A82AE8EBE9F2B52","23934","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","First review because it is the active generated-script defect chain already touched in this session."
"HSRB-002","2","PLANETARY_PREFLIGHT_CLOSEOUT_FAMILY","HSRQ-002","RHG-DRY-002","BUILD_HELPER_FILE_SURFACE_PREFLIGHT_LANE_CLOSEOUT_CARD_20260608.ps1","C:\Users\13527\Desktop\123\BUILD_HELPER_FILE_SURFACE_PREFLIGHT_LANE_CLOSEOUT_CARD_20260608.ps1","True","217A470DE672935AC0ABAA495B81C418DAF7D9C6FD8524E0913E8C3EFC0B352E","12450","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","Review preflight and planetary selector builders after the active defect chain."
"HSRB-002","2","PLANETARY_PREFLIGHT_CLOSEOUT_FAMILY","HSRQ-003","RHG-DRY-003","BUILD_PLANETARY_GATE_HELPER_FILE_SURFACE_PREFLIGHT_CLOSEOUT_OR_NEXT_SELECTOR_20260608.ps1","C:\Users\13527\Desktop\123\BUILD_PLANETARY_GATE_HELPER_FILE_SURFACE_PREFLIGHT_CLOSEOUT_OR_NEXT_SELECTOR_20260608.ps1","True","00F9CEF7A13E82E989D341BDBE78C8E72E02D2278B9FBBF8745E73DDA07B00B8","16038","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","Review preflight and planetary selector builders after the active defect chain."
"HSRB-002","2","PLANETARY_PREFLIGHT_CLOSEOUT_FAMILY","HSRQ-004","RHG-DRY-004","BUILD_PLANETARY_GATE_NEXT_OBJECT_SELECTOR_FROM_HELPER_FILE_SURFACE_PREFLIGHT_20260608_HEAVY_BOUNDARY.ps1","C:\Users\13527\Desktop\123\BUILD_PLANETARY_GATE_NEXT_OBJECT_SELECTOR_FROM_HELPER_FILE_SURFACE_PREFLIGHT_20260608_HEAVY_BOUNDARY.ps1","True","E89506CAA20C61CA656A8938276A7013AE3915D3E7E26D44BE6C45FFDD932628","12873","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","Review preflight and planetary selector builders after the active defect chain."
"HSRB-003","3","ROOT_HELD_ROUTE_OR_HOLD_AND_CUSTODY_FAMILY","HSRQ-014","RHG-DRY-014","BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_1.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_1.ps1","True","1F7352FCEC4350BFAB8770406C501934E9A727BE974B94C0079A9078B9C7D818","22277","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","Review root-held custody and route-or-hold helpers as one conceptual family."
"HSRB-003","3","ROOT_HELD_ROUTE_OR_HOLD_AND_CUSTODY_FAMILY","HSRQ-015","RHG-DRY-015","BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_2.ps1","C:\Users\13527\Desktop\123\BUILD_ROOT_HELD_GROUP_NON_SCRIPT_CUSTODY_REVIEW_QUEUE_V0_1_20260608_HEAVY_BOUNDARY_V0_2.ps1","True","1F7352FCEC4350BFAB8770406C501934E9A727BE974B94C0079A9078B9C7D818","22277","HELPER_SCRIPT_REVIEW_REQUIRED","HIGH_RISK_EXECUTABLE","STATIC_REVIEW_ONLY_DO_NOT_EXECUTE","NO_EXECUTION_NO_ROUTE_NO_CLEANUP","Review root-held custody and route-or-hold helpers as one conceptual family."
